Source,Target
0,1
0,23
1,2
1,24
2,3
2,26
3,4
3,27
4,5
4,22
5,6
5,29
6,7
6,20
7,8
7,21
8,9
8,31
9,10
9,19
10,11
10,33
11,12
11,18
12,13
12,35
13,14
13,36
14,15
14,16
15,17
16,17
17,37
18,34
19,32
20,21
21,30
22,28
23,24
23,25
25,26
25,38
26,27
26,39
27,28
27,40
28,29
28,41
29,30
29,42
30,31
30,43
31,32
31,44
32,33
32,45
33,34
33,46
34,35
34,47
35,36
35,48
36,37
36,49
37,50
38,39
38,51
39,40
39,53
40,41
40,54
41,42
41,55
42,43
42,57
43,44
43,59
44,45
44,61
45,46
45,62
46,47
46,63
47,48
47,65
48,49
48,66
49,50
49,67
50,69
51,52
51,79
52,53
53,54
53,80
54,55
54,81
55,56
55,82
56,57
56,83
57,58
58,59
58,85
59,60
60,61
60,86
61,62
61,70
62,63
62,71
63,64
64,65
64,74
65,66
65,75
66,67
66,76
67,68
67,77
68,69
69,78
70,71
70,98
71,72
71,99
72,73
72,100
73,74
73,101
74,75
75,76
75,102
76,77
76,103
77,78
77,104
78,106
79,80
79,87
80,81
80,89
81,82
81,90
82,83
82,91
83,84
83,92
84,85
84,94
85,86
85,95
86,97
87,88
87,107
88,89
89,90
89,108
90,91
90,109
91,92
91,110
92,93
93,94
93,111
94,95
95,96
96,97
96,112
97,98
98,99
98,113
99,100
99,114
100,101
101,102
101,115
102,103
102,116
103,104
103,117
104,105
104,118
105,106
106,119
107,108
107,120
108,109
108,121
109,110
109,122
110,111
110,123
111,112
111,124
112,113
112,125
113,114
113,126
114,115
114,127
115,116
115,128
116,117
116,129
117,118
117,130
118,119
118,131
119,132
120,121
120,133
121,122
121,134
122,123
122,135
123,124
123,136
124,125
124,137
125,126
125,138
126,127
126,139
127,128
127,140
128,129
128,141
129,130
129,142
130,131
130,143
131,132
131,144
132,145
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
