x,y,column
226,210,1
162,210,0
126,210,1
90,210,0
28,210,1
1001,210,1
937,210,0
901,210,1
864,210,0
801,210,1
739,210,0
702,210,1
666,210,0
603,210,1
540,210,0
504,210,1
441,210,0
405,210,1
369,210,0
306,210,1
1246,210,1
1157,210,1
1079,210,1
1079,239,0
1001,239,0
937,239,0
901,239,0
864,239,0
801,239,0
739,239,0
702,239,0
666,239,0
603,239,0
540,239,0
504,239,0
441,239,0
405,239,0
369,239,0
306,239,0
226,239,0
162,239,0
126,239,0
90,239,0
28,239,0
1079,272,0
1001,272,0
306,359,0
226,359,0
1079,359,0
1001,359,0
1246,380,1
1157,380,1
1079,380,1
1001,380,1
901,380,1
801,380,1
702,380,1
603,380,1
504,380,1
405,380,1
306,380,1
226,380,1
126,380,1
28,380,1
1246,435,1
1157,435,1
1079,435,1
1001,435,1
901,435,1
801,435,1
702,435,1
603,435,1
504,435,1
405,435,1
306,435,1
226,435,1
126,435,1
28,435,1
