x,y,column
818,21,0
769,21,0
606,21,0
478,21,0
315,21,0
229,21,0
171,21,0
818,87,0
769,87,1
606,87,1
478,87,1
390,87,0
315,87,1
229,87,0
171,87,1
1062,142,1
922,142,1
818,142,0
769,142,0
606,142,0
478,142,0
390,142,0
315,142,0
229,142,0
171,142,0
1062,190,0
922,190,0
818,190,0
769,190,0
606,190,0
478,190,0
229,248,1
171,248,1
1126,248,0
1062,248,1
973,248,0
922,248,0
818,248,0
769,248,0
606,248,1
478,248,1
769,295,0
606,295,0
478,295,0
769,353,0
606,353,0
478,353,0
1126,414,0
1062,414,0
973,414,0
922,414,0
769,414,0
606,414,1
478,414,1
1126,483,0
1062,483,0
922,483,0
769,483,0
606,483,0
538,483,0
478,483,0
1126,543,0
1062,543,1
922,543,1
769,543,1
606,543,1
538,543,0
478,543,1
229,543,0
1126,597,0
1062,597,0
922,597,0
769,597,0
606,597,0
538,597,0
