Source,Target
0,1
0,25
1,2
1,26
2,3
2,30
3,4
3,44
4,5
4,37
5,6
5,22
6,7
6,23
7,8
7,24
8,9
8,36
9,10
9,27
10,11
10,28
11,12
11,33
12,13
12,19
13,14
13,20
14,15
14,21
15,16
15,32
16,17
16,53
17,18
17,54
18,57
19,20
19,34
20,21
20,51
21,31
22,23
22,38
23,24
23,46
24,35
25,26
25,41
26,29
27,28
27,48
28,49
29,30
29,39
30,40
31,32
32,52
33,34
33,50
35,36
36,47
37,38
37,45
39,40
40,42
41,42
41,62
42,43
43,44
43,63
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
54,60
55,56
55,58
56,57
56,59
57,61
58,59
60,61
62,63
