x,y,column
135,27,1
328,27,1
526,27,1
725,27,1
1135,27,1
998,27,0
947,27,0
898,27,1
898,95,0
725,95,0
526,95,0
328,95,0
135,95,0
1135,115,0
1068,115,0
998,115,0
965,115,0
947,115,0
898,115,0
898,160,0
725,160,0
526,160,0
328,160,0
135,160,0
135,224,1
328,224,1
526,224,1
725,224,1
1135,224,1
1068,224,0
998,224,0
965,224,0
898,224,1
1135,290,0
898,290,0
725,290,0
526,290,0
328,290,0
135,290,0
1135,355,0
898,355,0
725,355,0
526,355,0
328,355,0
135,355,0
135,418,1
328,418,1
526,418,1
1135,418,0
898,418,1
725,418,1
898,485,0
725,485,0
526,485,0
328,485,0
135,485,0
898,550,0
725,550,0
526,550,0
328,550,0
135,550,0
898,617,1
725,617,1
526,617,1
328,617,1
135,617,1
