x,y,column
468,36,0
395,36,1
328,36,0
299,36,1
199,36,0
134,36,0
788,36,0
731,36,0
670,36,1
607,36,0
555,36,1
1028,36,1
980,36,0
931,36,1
844,36,1
395,69,0
328,69,0
299,69,0
365,131,0
328,131,0
299,131,1
199,131,0
134,131,1
555,131,1
468,131,0
395,131,1
1148,157,0
299,208,0
267,208,1
223,208,0
134,208,1
788,208,0
731,208,0
670,208,1
607,208,0
555,208,1
424,208,1
395,208,0
1148,208,0
1120,208,1
1075,208,0
1028,208,0
980,208,0
931,208,1
844,208,1
424,229,1
395,229,1
365,229,1
328,229,1
299,229,1
267,229,1
555,278,1
424,278,1
395,278,1
346,278,1
299,278,1
267,278,1
223,278,0
140,278,1
299,309,1
267,309,1
424,309,1
395,309,1
555,328,0
424,328,1
395,328,1
346,328,1
299,328,1
267,328,1
137,328,0
788,376,0
731,376,0
670,376,1
607,376,0
555,376,0
271,376,1
419,376,1
1148,376,0
1120,376,1
1075,376,0
1028,376,0
980,376,0
931,376,1
844,376,1
134,408,0
555,428,1
496,428,0
346,428,0
134,428,1
262,428,1
428,428,1
267,474,0
199,474,0
134,474,0
555,581,1
496,581,0
424,581,1
346,581,0
267,581,1
199,581,0
134,581,1
555,608,0
496,608,0
424,608,0
346,608,0
267,608,0
199,608,0
134,608,0
1116,160,0
1075,120,0
1028,73,0
424,401,0
267,402,0
134,377,0
