Source,Target
0,1
0,25
1,2
1,26
2,3
2,27
3,4
3,14
4,5
4,15
5,6
5,16
6,7
6,17
7,8
7,18
8,9
8,19
9,10
9,20
10,11
10,21
11,12
11,22
12,13
12,23
13,24
14,15
14,28
15,16
15,29
16,17
16,30
17,18
17,31
18,19
18,32
19,20
19,33
20,21
20,34
21,22
21,35
22,23
22,36
23,24
23,37
24,38
25,26
25,39
26,27
26,40
27,28
28,29
28,41
29,30
29,43
30,31
30,44
31,32
31,45
32,33
32,46
33,34
33,47
34,35
34,48
35,36
35,49
36,37
36,50
37,38
37,51
38,52
39,40
39,53
40,41
40,54
41,42
42,43
42,55
43,44
43,59
44,45
44,60
45,46
45,61
46,47
46,62
47,48
47,63
48,49
48,64
49,50
49,65
50,51
50,66
51,52
51,67
52,68
53,54
53,56
54,55
54,57
55,58
56,57
57,58
58,59
59,60
60,61
61,62
62,63
62,69
63,64
63,70
64,65
64,71
65,66
65,72
66,67
66,73
67,68
67,74
68,75
69,70
69,76
70,71
70,77
71,72
71,78
72,73
72,79
73,74
73,80
74,75
74,81
75,82
76,77
76,87
77,78
77,88
78,79
78,89
79,80
79,83
80,81
80,84
81,82
81,85
82,86
83,84
83,89
83,91
84,85
84,92
85,86
85,93
86,94
87,88
87,95
88,89
88,96
89,90
90,91
90,97
91,92
91,98
92,93
92,99
93,94
93,100
94,101
95,96
95,102
96,97
96,103
97,104
98,99
98,104
99,100
100,101
102,103
103,104
