Source,Target
0,1
0,16
1,2
1,29
2,3
2,4
3,5
4,5
4,17
5,6
5,19
6,7
6,33
7,8
7,34
8,9
8,35
9,10
9,36
10,37
11,12
11,22
12,13
12,23
13,14
13,25
14,15
14,26
15,16
15,20
16,21
17,18
17,30
18,19
18,31
19,32
20,21
20,27
21,28
22,23
22,50
23,24
24,25
24,51
25,26
26,27
26,40
27,28
27,41
28,29
29,30
29,44
30,31
31,32
32,33
32,46
33,34
34,35
34,48
35,36
36,37
36,52
37,38
38,53
39,40
39,68
40,41
41,42
41,54
42,43
42,56
43,44
43,57
44,45
44,58
45,46
45,60
46,47
46,61
47,48
47,63
48,49
49,67
50,51
50,74
51,75
52,53
52,80
53,81
54,55
54,70
55,56
55,71
56,57
57,58
58,59
58,72
59,60
59,73
60,61
61,62
62,63
62,64
63,65
64,65
64,77
65,66
66,67
66,78
67,79
68,69
68,76
69,70
69,86
70,71
71,87
72,73
72,82
73,83
74,75
75,76
75,84
76,85
77,78
77,94
78,79
78,95
79,80
80,81
82,83
83,89
84,85
85,86
86,87
86,90
87,91
88,89
88,92
89,93
90,91
91,92
91,98
92,93
92,99
93,94
93,96
94,95
94,97
96,97
98,99
