x,y,column
1134,29,1
1014,29,0
939,29,1
869,29,0
801,29,0
734,29,1
667,29,0
599,29,0
533,29,1
473,29,0
413,29,0
313,29,1
1134,90,0
1014,90,0
1134,181,1
1014,181,0
939,181,1
869,181,0
801,181,0
734,181,1
667,181,0
599,181,0
533,181,1
473,181,0
413,181,0
354,181,0
313,181,1
1134,237,0
1014,237,0
939,237,0
869,237,0
801,237,0
734,237,0
667,237,0
599,237,0
533,237,0
473,237,0
413,237,0
354,237,0
313,237,0
313,355,0
263,355,0
198,355,0
137,355,0
1134,399,0
1090,399,0
1014,399,0
939,399,0
869,399,0
801,399,0
734,399,0
667,399,0
599,399,0
533,399,0
473,399,0
413,399,0
354,399,0
313,399,0
1134,454,1
1090,454,0
1014,454,0
939,454,1
869,454,0
801,454,0
734,454,1
667,454,0
599,454,0
533,454,1
473,454,0
413,454,0
354,454,0
313,454,1
263,454,0
198,454,0
137,454,1
1134,595,1
1090,595,0
1014,595,0
939,595,1
869,595,0
801,595,0
734,595,1
667,595,0
599,595,0
533,595,1
473,595,0
413,595,0
354,595,0
313,595,1
263,595,0
198,595,0
137,595,1
