x,y,column
1223,173,1
1193,173,0
1134,173,0
1044,173,1
955,173,0
897,173,0
866,173,1
836,173,0
767,173,0
663,173,1
610,173,1
505,173,0
437,173,0
406,173,1
375,173,0
318,173,0
228,173,1
139,173,1
47,173,1
437,214,0
406,214,0
375,214,0
897,214,0
866,214,0
836,214,0
1223,214,0
1193,214,0
663,242,1
610,242,0
1193,242,0
1134,242,0
375,280,1
318,280,0
505,280,0
437,280,1
836,280,1
767,280,0
955,280,0
897,280,1
1193,280,0
1134,280,0
1223,312,1
1134,312,0
1111,312,1
1044,312,1
955,312,0
866,312,1
767,312,0
663,312,1
610,312,1
505,312,0
406,312,1
318,312,0
228,312,1
139,312,1
107,312,0
79,312,0
47,312,1
107,381,1
79,381,0
139,413,1
47,413,1
1223,413,1
1111,413,1
