x,y,column
848,36,0
789,36,0
726,36,0
668,36,0
608,36,0
549,36,0
490,36,0
433,36,0
377,36,0
312,36,0
225,36,0
1130,118,1
1041,118,0
965,118,1
907,118,0
848,118,1
789,118,0
726,118,0
668,118,1
608,118,0
549,118,0
490,118,1
433,118,0
377,118,0
312,118,1
225,118,0
140,118,1
1130,293,1
1092,293,0
1041,293,0
965,293,1
907,293,0
848,293,1
789,293,0
726,293,0
668,293,1
608,293,0
549,293,0
490,293,1
433,293,0
377,293,0
312,293,1
248,293,0
140,293,1
248,347,0
140,347,0
789,347,0
726,347,0
668,347,0
608,347,0
549,347,0
490,347,0
433,347,0
377,347,0
312,347,0
1130,372,0
1092,372,0
1041,372,0
965,372,0
907,372,0
848,372,0
819,372,0
789,372,0
248,410,0
140,410,0
848,410,1
819,410,0
789,410,1
1130,410,1
1092,410,0
248,464,0
140,464,0
848,483,1
819,483,0
789,483,1
1130,483,1
1092,483,0
1130,525,0
1092,525,0
1041,525,0
965,525,0
848,525,0
819,525,0
789,525,0
248,550,0
140,550,0
789,550,0
726,550,0
668,550,0
608,550,0
549,550,0
490,550,0
433,550,0
377,550,0
312,550,0
1130,602,1
1092,602,0
1041,602,0
965,602,1
848,602,1
789,602,0
726,602,0
668,602,1
608,602,0
549,602,0
490,602,1
433,602,0
377,602,0
312,602,1
248,602,0
140,602,1
