Source,Target
0,1
0,21
1,2
1,22
2,3
2,23
3,4
3,24
4,5
4,25
5,6
5,26
6,7
6,27
7,8
7,17
8,9
8,11
9,10
9,12
10,14
11,12
11,15
12,13
13,14
13,16
14,20
15,16
15,18
16,19
17,18
17,28
18,19
18,29
19,20
19,30
20,31
21,22
21,32
22,23
22,34
23,24
23,35
24,25
24,36
25,26
25,37
26,27
26,38
27,28
27,39
28,40
29,30
29,40
29,45
30,31
31,46
32,33
32,41
33,34
33,42
34,35
34,43
35,36
36,37
37,38
38,39
39,40
40,44
41,42
42,43
44,45
44,47
45,46
45,48
46,49
47,48
47,50
48,49
48,51
49,52
50,51
50,53
51,52
51,54
52,55
53,54
54,55
