x,y,column
836,38,1
731,38,0
638,38,0
545,38,0
440,38,1
465,141,1
440,141,1
351,141,1
316,141,0
731,141,0
690,141,1
638,141,0
586,141,1
545,141,0
960,141,0
925,141,1
836,141,1
811,141,1
1174,229,1
1104,229,0
991,229,0
960,229,0
925,229,1
811,229,1
690,229,0
586,229,0
465,229,1
351,229,1
316,229,0
285,229,0
172,229,0
102,229,1
351,333,1
285,333,0
230,333,0
172,333,0
102,333,1
81,333,1
1196,333,1
1174,333,1
1104,333,0
1046,333,0
991,333,0
925,333,1
690,360,1
638,360,1
586,360,1
522,410,1
465,410,0
351,410,0
925,410,0
811,410,0
754,410,1
1196,508,1
1046,508,1
925,508,1
754,508,1
638,508,0
522,508,1
351,508,1
230,508,1
81,508,1
1046,584,0
754,584,0
522,584,0
230,584,0
