x,y,column
746,34,1
667,34,1
603,34,1
519,34,1
603,144,0
519,144,1
453,144,0
372,144,0
316,144,0
212,144,0
119,144,1
1180,144,1
1080,144,1
986,144,0
929,144,1
846,144,1
746,144,1
603,186,0
558,186,1
519,186,1
846,186,1
746,186,1
1180,246,1
1080,246,1
1080,265,1
986,265,0
929,265,1
846,265,1
746,265,1
667,265,1
603,265,0
558,265,0
519,265,1
453,265,1
372,265,1
316,265,0
212,265,1
119,265,1
100,265,1
955,312,1
929,312,1
846,312,1
782,312,1
746,312,0
667,312,1
558,312,0
519,312,1
453,312,1
372,312,1
345,312,1
1180,312,1
1080,312,1
212,338,1
100,338,1
846,372,1
804,372,0
782,372,0
746,372,0
667,372,0
603,372,0
558,372,0
519,372,0
494,372,0
453,372,1
494,404,1
453,404,1
398,404,1
345,404,1
955,404,1
901,404,1
846,404,1
804,404,1
667,428,0
603,428,1
1180,428,1
1080,428,1
955,428,1
494,465,1
398,465,1
345,465,1
212,465,1
100,465,1
667,465,0
603,465,0
1080,465,0
955,465,0
901,465,1
804,465,1
667,530,0
603,530,0
901,587,1
804,587,1
667,587,0
603,587,1
494,587,1
398,587,1
603,615,0
494,615,0
804,615,0
667,615,0
