Source,Target
0,1
0,8
1,9
2,3
2,6
3,7
4,5
4,14
5,6
5,11
6,7
6,12
7,8
7,18
8,9
8,19
9,10
9,21
10,22
11,12
11,15
12,16
13,14
13,29
14,15
14,30
15,16
16,17
16,26
17,18
17,27
18,19
18,23
19,20
19,24
20,21
20,25
21,22
22,51
23,24
23,28
24,25
24,37
25,39
26,27
26,33
27,28
27,35
28,36
29,30
30,31
30,43
31,32
31,44
32,33
32,45
33,34
34,35
34,40
35,36
36,37
37,38
38,39
38,41
39,49
40,41
40,46
41,48
42,43
42,55
43,44
43,56
44,45
45,46
45,57
46,47
47,48
47,52
48,49
48,54
49,50
50,51
52,53
52,59
53,54
53,60
54,61
55,56
56,57
56,64
57,58
57,62
58,59
58,63
59,60
60,61
60,67
61,68
62,63
62,65
63,66
64,65
65,66
66,67
67,68
