Source,Target
0,1
0,17
1,2
1,18
2,3
2,19
3,20
4,5
4,10
5,6
5,11
6,7
6,12
7,13
8,9
8,31
9,10
9,32
10,11
10,33
11,12
11,40
12,13
12,41
13,14
13,26
14,15
14,27
15,16
15,28
16,17
16,29
17,18
17,30
18,19
18,35
19,20
19,36
20,21
20,23
21,22
21,24
22,25
23,24
23,37
24,25
24,64
25,65
26,27
26,42
27,28
27,53
28,29
28,54
29,30
29,55
30,34
31,32
31,43
32,33
32,44
33,38
34,35
34,56
35,36
35,58
36,37
36,61
37,63
38,39
38,45
39,40
39,46
40,41
40,47
41,42
41,50
42,52
43,44
43,66
44,45
44,67
45,46
45,68
46,47
46,70
47,48
48,49
48,71
49,50
49,72
50,51
51,52
51,73
52,53
52,75
53,54
53,76
54,55
54,77
55,56
55,78
56,57
56,79
57,58
57,81
58,59
59,60
59,82
60,61
60,83
61,62
62,63
62,84
63,64
63,86
64,65
64,87
65,88
66,67
66,98
67,68
67,99
68,69
69,70
69,110
70,71
70,96
71,72
72,73
73,74
73,97
74,75
74,104
75,76
76,77
76,93
77,78
77,94
78,79
78,95
79,80
80,81
80,107
81,82
81,91
82,83
83,84
84,85
84,92
85,86
85,101
86,87
87,88
87,89
88,90
89,90
89,102
91,92
91,108
92,100
93,94
93,105
94,95
95,106
96,97
96,111
97,103
98,99
99,109
100,101
100,112
101,102
101,113
102,114
103,104
103,118
104,105
104,119
105,106
105,120
106,107
106,115
107,108
107,116
108,117
109,110
109,121
110,111
110,122
111,123
112,113
112,117
113,114
115,116
116,117
118,119
118,123
119,120
121,122
122,123
