x,y,column
1223,26,1
1156,26,1
1089,26,1
1070,26,0
1009,26,0
954,26,1
847,26,0
737,26,1
638,26,0
539,26,1
428,26,0
322,26,1
265,26,0
190,26,0
117,26,1
54,26,1
117,91,1
54,91,1
1156,91,1
1089,91,1
1070,91,0
1223,174,0
1156,174,0
1089,174,0
1070,174,0
1009,174,0
954,174,0
847,174,0
737,174,0
638,174,0
539,174,0
428,174,0
322,174,0
265,174,0
190,174,0
117,174,0
54,174,0
1223,228,1
1156,228,0
1089,228,0
1009,228,0
954,228,1
871,228,0
847,228,0
737,228,1
638,228,0
539,228,1
428,228,0
322,228,1
265,228,0
190,228,0
117,228,0
54,228,1
117,275,0
54,275,0
265,275,0
190,275,0
1223,275,0
1156,275,0
954,309,0
871,309,0
737,309,0
539,309,0
428,309,0
322,309,0
117,357,0
54,357,0
265,357,0
228,357,0
190,357,0
1223,357,0
1156,357,0
1223,390,1
1156,390,0
1135,390,0
1089,390,0
1051,390,0
1009,390,0
954,390,1
888,390,0
871,390,0
817,390,0
737,390,1
638,390,0
539,390,1
458,390,0
428,390,0
322,390,1
265,390,0
228,390,0
190,390,0
117,390,0
54,390,1
54,422,0
1223,422,0
954,445,0
888,445,0
817,445,0
737,445,0
638,445,0
539,445,0
458,445,0
380,445,1
322,445,1
228,445,0
117,445,0
54,445,0
1223,445,0
1156,445,0
1135,445,0
1051,445,0
380,498,1
322,498,1
1156,498,0
1089,498,0
1051,498,0
954,498,0
380,544,1
322,544,1
1156,544,0
1089,544,0
1051,544,0
1223,608,1
1156,608,0
1051,608,0
954,608,1
888,608,0
817,608,0
737,608,1
638,608,0
539,608,1
458,608,0
380,608,1
322,608,1
228,608,0
117,608,0
54,608,1
