x,y,column
261,190,1
167,190,1
75,190,1
998,190,1
905,190,1
810,190,1
716,190,1
622,190,1
561,190,0
527,190,1
433,190,1
339,190,1
1231,190,1
1149,190,1
1077,190,1
339,216,0
261,216,0
561,216,0
527,216,0
1077,216,0
998,216,0
261,243,0
167,243,0
75,243,0
998,243,0
905,243,0
810,243,0
716,243,0
622,243,0
561,243,0
527,243,0
433,243,0
339,243,0
261,298,0
167,298,0
75,298,0
998,298,0
905,298,0
810,298,0
716,298,0
622,298,0
527,298,0
433,298,0
339,298,0
1231,298,0
1149,298,0
1077,298,0
339,313,0
261,313,0
1077,313,0
998,313,0
1231,351,1
1149,351,1
1077,351,1
998,351,1
905,351,1
810,351,1
716,351,1
622,351,1
527,351,1
433,351,1
339,351,1
261,351,1
167,351,1
75,351,1
1231,404,1
1149,404,1
1077,404,1
998,404,1
905,404,1
810,404,1
716,404,1
622,404,1
527,404,1
433,404,1
339,404,1
261,404,1
167,404,1
75,404,1
