Source,Target
0,1
0,14
1,2
1,23
2,3
2,26
3,4
3,27
4,10
5,6
5,16
6,7
6,34
7,8
7,35
8,9
8,17
9,12
10,11
10,29
11,30
12,13
12,19
13,14
13,20
14,21
15,16
15,31
16,32
17,18
17,36
18,19
18,37
19,20
20,21
21,22
22,23
22,24
23,25
24,25
24,42
25,26
26,27
27,28
28,29
28,57
29,30
30,58
31,32
31,48
32,33
33,34
33,49
34,35
35,36
36,37
37,38
38,39
38,43
39,40
39,44
40,41
40,45
41,42
41,46
42,47
43,44
43,51
44,45
44,52
45,46
46,47
46,54
47,55
48,49
49,50
50,51
50,85
50,59
51,52
51,60
52,53
52,61
53,54
53,62
54,55
54,63
55,56
55,65
56,57
56,66
57,58
59,60
59,70
60,61
60,71
61,62
61,72
62,63
62,79
63,64
64,65
64,67
65,66
65,68
66,69
67,68
68,69
68,73
69,74
70,71
70,75
71,72
71,76
73,74
73,80
74,81
75,76
75,77
76,78
77,78
78,79
78,82
79,80
79,83
80,81
80,84
82,83
83,84
