Source,Target
0,1
0,7
1,29
1,3
2,3
2,7
2,11
3,4
3,12
4,36
5,6
5,8
6,7
6,9
7,10
8,9
8,15
9,10
9,16
10,11
10,17
11,12
11,14
12,13
12,22
13,42
14,22
14,17
14,54
15,16
15,18
16,17
16,19
17,21
18,19
19,21
20,54
20,21
22,24
22,60
23,24
23,59
23,54
24,54
24,25
24,60
25,55
25,51
25,59
26,27
26,32
27,33
28,29
28,30
29,36
30,31
30,36
31,32
31,37
32,33
32,38
33,34
33,39
34,35
34,40
35,41
36,42
37,38
37,42
37,43
38,39
38,44
39,40
39,45
40,41
40,47
41,48
42,60
43,44
43,60
43,50
44,45
44,57
45,46
46,47
46,58
47,48
47,52
48,53
49,50
49,51
49,55
50,56
51,60
52,53
52,58
55,56
55,59
56,57
57,58
