x,y,column
1018,14,1
967,14,0
914,14,1
861,14,1
808,14,1
774,14,0
741,14,0
707,14,0
669,14,1
619,14,0
549,14,1
488,14,1
447,14,0
406,14,0
1018,65,0
967,65,0
914,65,0
861,65,0
808,65,0
774,65,0
741,65,0
707,65,0
669,65,0
619,65,0
549,65,0
488,65,0
669,103,0
619,103,0
549,103,1
488,103,1
447,103,0
406,103,0
308,103,0
256,103,1
276,103,0
619,126,1
1018,126,1
967,126,0
914,126,1
861,126,1
808,126,1
774,126,0
741,126,0
707,126,0
669,126,1
447,156,0
406,156,0
364,156,0
308,156,0
256,156,0
534,156,0
1018,156,0
967,156,0
914,156,0
861,156,0
808,156,0
774,156,0
741,156,0
707,156,0
669,156,0
619,156,1
1018,206,1
967,206,0
914,206,1
861,206,0
808,206,1
774,206,0
741,206,0
707,206,0
669,206,1
619,206,0
549,206,1
488,206,1
447,206,1
406,206,0
364,206,1
308,206,0
256,206,1
669,261,1
642,261,1
619,261,1
549,261,1
488,261,1
447,261,1
406,261,0
364,261,1
308,261,0
256,261,1
488,310,0
447,310,0
406,310,0
364,310,0
308,310,0
256,310,0
619,310,0
549,310,0
669,361,1
642,361,1
619,361,1
549,361,0
488,361,1
447,361,1
406,361,0
364,361,1
308,361,0
256,361,1
364,414,1
308,414,0
256,414,1
669,414,0
619,414,1
549,414,1
488,414,1
447,414,1
406,414,0
669,468,0
619,468,1
549,468,0
488,468,0
447,468,0
406,468,0
364,468,0
308,468,0
256,468,0
669,494,1
619,494,1
669,517,0
619,517,0
549,517,1
488,517,1
447,517,0
406,517,0
364,517,1
308,517,0
256,517,1
549,575,0
488,575,0
447,575,0
406,575,0
364,575,0
308,575,0
256,575,0
549,626,1
488,626,1
447,626,0
406,626,0
364,626,1
308,626,0
256,626,1
549,156,0
488,153,0
364,14,1
364,101,1
321,57,1
