Source,Target
0,1
0,16
1,2
1,10
2,3
2,11
3,4
3,12
4,13
5,6
5,19
6,7
6,20
7,8
7,21
8,9
8,22
9,23
10,11
10,16
10,26
11,12
11,27
12,13
12,28
13,14
13,33
14,35
15,16
15,25
15,44
16,46
17,18
17,51
18,19
18,52
19,20
19,54
20,21
20,29
21,22
21,30
22,23
22,31
23,24
23,40
24,25
24,42
25,43
26,27
26,47
27,28
27,37
28,32
29,30
29,55
30,31
30,49
31,39
32,33
32,57
33,34
33,58
34,35
34,59
35,60
36,37
36,71
37,38
38,56
39,40
39,62
40,41
40,63
41,42
41,64
42,43
42,65
43,44
43,66
44,45
44,67
45,46
45,68
46,47
46,69
47,70
48,49
48,77
49,50
50,61
51,52
51,72
52,53
52,73
53,54
53,74
54,55
54,75
55,76
56,57
56,71
56,91
57,58
58,59
58,78
59,60
59,79
60,80
61,62
61,77
61,96
62,63
63,64
63,81
64,65
64,82
65,66
66,67
66,83
67,68
68,69
68,84
69,70
69,85
70,71
71,90
72,73
72,86
73,74
74,75
74,87
75,76
75,88
76,77
77,95
78,79
78,92
79,80
80,98
81,82
81,93
82,83
83,84
83,100
84,85
85,89
86,87
86,102
87,88
88,94
89,90
89,101
90,91
90,104
91,92
91,105
92,97
93,96
93,99
94,95
94,103
95,96
95,106
96,107
97,98
97,109
99,100
99,113
100,101
101,110
102,103
103,114
104,105
104,111
105,108
106,107
106,115
107,112
108,109
110,111
112,113
114,115
