Source,Target
0,1
0,4
1,2
1,5
2,3
2,6
3,7
4,5
4,8
5,6
5,9
6,7
6,10
7,11
8,9
8,18
9,10
9,19
10,11
10,20
11,12
11,21
12,13
12,22
13,14
13,23
14,15
14,24
15,16
15,25
16,17
16,26
17,27
18,19
18,31
19,20
19,32
20,21
20,34
21,22
21,35
22,23
22,36
23,24
23,37
24,25
24,38
25,26
25,28
26,27
26,29
27,30
28,29
28,38
28,54
29,30
29,55
30,56
31,32
31,42
32,33
33,34
33,43
34,35
35,36
35,44
36,37
36,51
37,38
37,52
38,53
39,40
39,45
40,41
40,46
41,42
41,47
42,43
42,48
43,44
43,49
44,50
45,46
45,59
46,47
46,60
47,48
47,61
48,49
48,62
49,50
49,57
50,51
50,58
51,52
51,65
52,53
52,66
53,54
53,67
54,55
54,68
55,56
55,69
56,70
57,58
57,63
58,64
59,60
59,71
60,61
60,72
61,62
61,73
62,74
63,64
63,74
64,65
64,76
65,66
65,77
66,67
66,78
67,68
67,79
68,69
68,80
69,70
69,81
70,82
71,72
72,73
73,74
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
