x,y,column
596,24,1
554,24,0
512,24,1
470,24,0
429,24,0
389,24,1
596,72,0
554,72,0
512,72,0
470,72,0
429,72,0
389,72,0
596,123,0
554,123,0
512,123,0
470,123,0
429,123,0
389,123,0
596,169,1
554,169,0
512,169,1
470,169,0
429,169,0
389,169,1
596,227,1
512,227,1
470,227,0
389,227,1
596,291,0
512,291,0
470,291,0
389,291,0
596,355,1
512,355,1
470,355,0
389,355,1
952,409,1
903,409,0
853,409,1
789,409,0
724,409,1
660,409,0
596,409,1
531,409,0
512,409,0
470,409,1
389,409,1
339,409,1
952,499,0
903,499,0
853,499,0
789,499,0
724,499,0
660,499,0
596,499,0
531,499,0
470,499,0
389,499,0
339,499,0
952,541,1
903,541,0
853,541,1
789,541,0
724,541,1
660,541,0
596,541,1
531,541,0
470,541,1
429,541,0
389,541,0
339,541,1
429,572,0
389,572,0
339,572,0
952,625,1
903,625,0
853,625,1
789,625,0
724,625,1
660,625,0
596,625,1
531,625,0
470,625,1
429,625,0
389,625,0
339,625,1
