Source,Target
0,1
0,6
1,2
1,7
2,3
3,8
4,5
4,9
5,6
5,10
6,7
6,11
7,8
7,12
8,13
9,10
9,17
10,11
10,18
11,12
11,14
12,13
12,15
13,16
14,15
14,18
14,21
15,16
15,22
16,24
17,18
17,19
18,20
19,20
19,28
20,21
20,29
21,22
21,25
22,23
22,26
23,24
24,27
25,26
25,29
25,30
26,27
26,31
27,32
28,29
28,33
29,34
30,31
30,34
30,40
31,32
31,41
32,42
33,34
33,36
34,39
35,45
35,52
36,37
36,68
37,38
37,69
38,39
38,70
39,40
39,71
40,41
40,46
41,42
41,47
42,43
42,48
43,44
43,49
44,45
44,50
45,51
46,47
46,54
47,48
47,55
48,49
48,56
49,50
49,57
50,51
50,58
51,52
51,59
52,53
52,80
53,91
54,55
54,60
55,56
55,61
56,57
56,62
57,58
57,64
58,59
58,65
59,67
60,61
60,72
61,62
61,73
62,63
62,74
63,64
63,75
64,65
64,76
65,66
65,77
66,67
66,78
67,79
68,69
68,81
69,70
69,82
70,71
70,83
71,84
72,73
72,84
73,74
74,75
75,76
75,85
76,77
76,86
77,78
77,87
78,79
78,88
79,80
79,89
80,90
81,82
82,83
83,84
85,86
86,87
87,88
88,89
89,90
90,91
