Source,Target
0,1
0,7
1,2
1,3
2,5
2,6
3,4
3,8
4,5
4,9
5,6
6,93
7,8
7,16
8,9
8,17
9,93
9,18
10,93
10,11
11,12
11,20
12,13
12,14
13,15
14,15
14,97
15,108
16,17
16,32
17,18
17,24
18,19
19,20
19,93
19,21
20,22
21,22
21,25
22,26
23,24
23,33
24,25
24,34
25,26
25,30
26,31
27,28
27,29
27,120
27,98
28,116
28,120
29,31
29,120
30,31
30,37
31,35
32,33
32,38
33,34
34,36
35,121
35,95
36,37
36,39
37,40
38,39
38,54
39,40
39,46
40,95
40,48
41,42
41,43
41,103
42,104
42,105
43,119
43,131
44,102
44,125
45,127
45,48
45,129
46,47
46,55
47,48
47,56
48,94
49,50
49,53
49,102
50,51
50,62
51,52
51,63
52,105
52,58
53,132
53,125
53,100
54,55
55,56
56,94
57,132
57,94
57,130
57,129
58,59
58,64
59,106
59,105
59,65
60,106
60,71
60,107
61,96
61,94
61,75
62,63
62,100
62,79
63,64
64,65
64,68
65,66
65,69
66,106
66,70
67,100
67,99
67,130
68,69
68,80
69,70
70,71
70,81
71,107
71,82
72,73
72,96
72,76
73,74
73,99
73,77
74,100
74,78
75,76
75,86
76,77
77,78
77,84
78,79
78,85
79,80
79,89
80,81
80,90
81,82
81,91
82,83
83,107
83,92
84,85
84,87
85,88
86,87
87,88
88,89
89,90
90,91
91,92
94,129
95,126
96,99
96,130
97,120
97,115
98,121
99,130
101,102
101,119
101,118
102,119
103,104
103,111
105,106
108,109
108,115
109,110
109,112
110,111
110,114
111,131
112,113
112,115
112,116
113,114
113,117
114,131
114,118
115,120
116,117
116,122
117,118
117,123
118,124
119,131
121,122
121,126
122,123
122,127
123,124
124,125
124,128
125,132
126,127
127,128
128,132
130,132
