Source,Target
0,1
0,6
1,2
1,7
2,3
2,8
3,4
3,9
4,5
4,10
5,11
6,7
6,12
7,8
7,13
8,9
8,14
9,10
9,15
10,11
10,16
11,17
12,13
12,18
13,14
13,19
14,15
14,20
15,16
15,21
16,17
16,22
17,23
18,19
18,24
19,20
20,21
20,25
21,22
21,26
22,23
23,27
24,25
24,28
25,26
25,29
26,27
26,30
27,31
28,29
28,32
29,30
29,33
30,31
30,34
31,35
32,33
32,42
33,34
33,44
34,35
34,45
35,46
36,37
36,48
37,38
37,49
38,39
38,50
39,40
39,51
40,41
40,52
41,42
41,53
42,43
42,54
43,44
43,55
44,45
45,46
45,56
46,47
46,57
47,58
48,49
48,59
49,50
49,60
50,51
50,61
51,52
51,62
52,53
52,63
53,54
53,64
54,55
54,65
55,56
55,66
56,57
56,67
57,58
57,69
58,70
59,60
59,74
60,61
60,75
61,62
61,76
62,63
62,77
63,64
63,78
64,65
64,79
65,66
65,80
66,67
66,81
67,68
67,82
68,69
68,71
69,70
69,72
70,73
71,72
71,83
72,73
72,84
73,85
74,75
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
