Source,Target
0,1
0,14
1,16
2,3
2,7
3,4
3,8
4,5
4,9
5,6
5,10
6,11
7,8
7,18
8,9
8,19
9,10
9,20
10,11
10,21
11,12
11,22
12,13
12,23
13,14
14,15
14,24
15,16
15,25
16,17
16,26
17,27
18,19
18,28
19,20
19,29
20,21
20,30
21,22
21,31
22,23
22,32
23,24
23,33
24,25
24,35
25,26
25,36
26,27
27,38
28,29
28,39
29,30
29,40
30,31
30,41
31,32
31,42
32,33
32,43
33,34
33,44
34,35
35,36
35,45
36,37
36,46
37,38
37,47
39,40
39,48
40,41
40,49
41,42
41,50
42,43
42,51
43,44
43,52
44,45
44,53
45,46
45,55
46,47
46,56
47,57
48,49
48,61
49,50
49,62
50,51
50,63
51,52
51,64
52,53
52,65
53,54
53,66
54,55
55,56
55,67
56,57
56,58
57,60
58,59
58,68
59,60
59,69
60,80
61,62
61,70
62,63
62,71
63,64
63,72
64,65
64,73
65,66
65,74
66,67
66,75
67,68
67,77
68,69
68,78
69,79
70,71
70,83
71,72
72,73
72,82
73,74
74,75
74,81
75,76
76,77
77,78
78,79
79,80
