x,y,column
1143,173,1
1054,173,0
967,173,1
880,173,0
794,173,1
707,173,0
620,173,1
533,173,0
446,173,1
446,226,0
1143,276,1
1085,276,0
1054,276,0
1023,276,0
967,276,1
911,276,0
880,276,0
850,276,0
794,276,1
738,276,0
707,276,0
677,276,0
620,276,1
564,276,0
533,276,0
533,346,0
446,346,0
677,346,1
620,346,0
564,346,1
850,346,1
794,346,0
738,346,1
1023,346,1
967,346,0
911,346,1
1143,346,0
1085,346,1
1143,379,1
1054,379,0
967,379,1
880,379,0
794,379,1
707,379,0
620,379,1
533,379,0
446,379,1
427,379,1
448,277,1
446,321,0
114,434,1
200,407,0
189,432,0
177,459,0
299,476,0
286,503,1
307,222,1
164,311,1
137,380,1
188,348,1
380,226,1
331,258,1
423,296,0
375,325,0
393,354,0
309,451,1
411,382,1
231,418,0
