Source,Target
0,2
0,10
1,2
1,6
2,7
3,5
3,16
4,5
4,11
4,15
5,33
6,7
6,22
7,8
7,23
8,9
8,24
9,10
9,25
10,11
10,26
11,14
12,13
12,20
13,21
14,15
14,27
15,28
16,17
16,34
17,18
18,19
18,35
19,20
19,36
20,21
20,37
21,39
22,23
22,40
23,24
23,41
24,25
24,42
25,26
25,43
26,27
26,29
27,28
27,30
28,32
29,30
29,44
30,31
30,46
31,32
32,33
33,34
33,47
34,35
35,36
35,49
36,37
36,50
37,38
38,39
38,69
39,70
40,41
40,54
41,42
41,55
42,43
42,53
43,44
43,57
44,45
44,52
45,46
45,60
46,47
46,61
47,48
47,92
48,49
48,64
49,50
49,65
50,51
51,68
52,58
53,56
54,55
54,89
55,56
56,57
56,80
57,58
58,59
58,71
59,60
59,72
60,61
61,62
61,73
62,63
62,74
63,64
63,91
63,75
64,65
64,76
65,66
66,67
67,68
67,78
68,69
69,70
71,72
71,79
71,82
72,73
72,83
73,74
73,84
74,75
74,85
75,76
75,86
76,77
76,87
77,78
78,88
79,80
79,93
80,81
80,90
81,89
82,83
83,84
84,85
85,86
86,87
87,88
90,93
91,92
