Source,Target
0,1
0,5
1,2
1,6
2,7
3,4
3,15
4,5
4,17
5,6
5,19
6,7
6,23
7,8
7,10
8,9
8,12
9,14
10,11
10,24
11,12
11,25
12,13
13,14
13,26
15,16
16,17
16,20
17,18
18,19
18,21
19,22
20,21
21,22
21,30
22,23
22,31
23,24
23,32
24,25
24,33
25,26
25,34
27,28
27,42
28,29
28,45
29,30
29,46
30,31
30,47
31,32
31,38
32,33
33,34
33,41
34,35
34,52
35,36
35,53
36,37
36,54
37,57
38,39
38,48
39,40
39,49
40,41
40,50
41,51
42,43
42,64
43,44
43,66
44,45
44,67
45,46
46,47
47,48
48,49
48,70
49,50
49,71
50,51
50,62
51,52
51,63
52,53
53,54
54,55
55,56
55,58
56,57
56,59
57,61
58,59
58,76
59,60
60,61
60,78
62,63
62,73
63,74
64,65
65,66
65,79
66,67
67,68
68,69
68,80
69,70
69,85
70,71
70,86
71,72
72,73
72,88
73,74
74,75
74,81
75,76
75,82
76,77
77,78
79,80
81,82
81,89
82,83
82,91
83,93
84,85
84,96
85,86
85,98
86,87
87,88
87,99
88,89
88,109
89,90
90,91
90,110
91,92
92,93
92,100
93,94
93,101
94,102
95,96
95,103
96,97
96,104
97,98
97,105
98,99
99,108
100,101
100,106
101,102
102,112
103,104
103,116
104,105
105,107
106,110
106,111
107,108
107,117
108,109
108,113
109,110
109,114
110,115
111,112
113,114
114,115
116,117
