x,y,column
560,28,0
785,28,1
744,28,0
685,28,1
956,28,0
877,28,0
685,66,1
601,66,0
560,66,0
508,66,1
418,66,0
332,66,1
956,66,1
877,66,1
785,66,1
508,114,0
418,114,0
785,114,0
744,114,0
685,114,0
418,155,0
332,155,0
601,155,0
560,155,0
956,155,0
905,155,0
877,155,0
508,182,0
446,182,0
418,182,0
785,200,0
685,200,0
601,200,0
560,200,0
508,200,0
956,200,0
905,200,0
877,200,0
508,233,0
446,233,0
418,233,0
332,233,1
313,233,1
298,233,0
785,233,0
744,233,1
685,233,1
644,233,1
624,233,1
560,233,1
685,271,1
644,271,1
624,271,1
956,271,1
877,271,0
785,271,1
877,302,0
785,302,0
744,302,1
560,324,0
508,324,0
332,324,0
298,324,0
685,324,1
624,324,1
956,347,0
877,347,0
785,347,0
744,347,1
724,375,0
685,375,1
644,375,1
624,375,1
956,375,1
877,375,0
785,375,1
508,417,0
446,417,0
418,417,0
332,417,1
313,417,1
298,417,0
685,417,1
644,417,1
624,417,1
560,417,1
785,417,0
744,417,1
724,417,1
785,448,0
685,448,0
601,448,0
560,448,0
508,448,1
956,448,0
905,448,0
877,448,0
508,467,0
446,467,0
418,467,0
418,493,0
332,493,0
601,493,0
560,493,0
956,493,0
905,493,0
877,493,0
508,535,0
418,535,0
785,535,0
744,535,0
685,535,0
685,585,1
601,585,0
560,585,0
508,585,1
418,585,0
332,585,1
956,585,1
877,585,0
785,585,1
560,617,0
785,617,1
744,617,0
685,617,1
