Source,Target
0,1
0,10
1,2
1,12
2,3
2,14
3,4
3,16
4,5
4,18
5,6
5,20
6,7
6,22
7,8
7,24
8,9
9,60
9,48
10,11
10,36
11,12
11,37
12,13
12,39
13,14
13,33
14,15
14,34
15,16
15,35
16,17
16,41
17,18
17,30
18,19
18,31
19,20
19,32
20,21
20,43
21,22
21,27
22,23
22,28
23,24
23,29
24,48
24,25
25,26
25,45
26,49
26,46
27,28
28,29
28,44
30,31
31,32
31,42
33,34
34,35
34,40
36,37
36,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,66
48,49
48,62
49,64
50,58
50,53
51,52
51,58
51,67
52,53
52,54
53,55
54,55
54,65
56,57
56,61
57,59
58,59
59,61
59,67
60,61
60,62
61,63
62,63
63,67
63,64
64,66
65,66
65,67
