Source,Target
0,1
0,6
1,2
1,7
2,3
2,9
3,4
3,10
4,5
4,11
5,12
6,7
6,17
7,8
8,9
8,18
9,10
9,19
10,11
10,20
11,12
11,21
12,22
13,14
13,23
14,15
14,24
15,16
15,30
16,17
16,31
17,18
17,32
18,19
18,25
19,20
19,26
20,21
20,27
21,22
21,28
22,29
23,24
23,33
24,34
25,26
25,32
25,40
26,27
26,41
27,28
27,42
28,29
28,43
29,45
30,31
30,34
30,37
31,32
31,38
32,39
33,34
33,35
34,36
35,36
36,37
36,46
37,38
37,47
38,39
38,48
39,40
39,49
40,41
40,50
41,42
41,51
42,43
42,52
43,44
43,53
44,45
44,54
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
