x,y,column
845,44,0
735,44,1
662,44,0
604,44,1
538,44,1
428,44,0
345,74,1
247,74,1
735,74,1
662,74,1
1026,74,0
921,74,1
247,101,1
197,101,0
604,101,0
538,101,1
428,101,1
345,101,1
921,101,1
845,101,1
735,101,1
1075,101,0
1026,101,1
345,182,0
316,182,0
247,182,0
197,182,0
604,182,1
538,182,1
1075,182,0
1026,182,0
961,182,0
921,182,0
451,216,1
428,216,1
376,216,0
345,216,1
316,216,1
604,216,0
560,216,0
538,216,1
735,216,1
662,216,1
961,216,1
921,216,1
897,216,0
845,216,1
814,216,0
735,239,1
662,239,1
604,239,0
560,239,0
538,239,1
376,265,0
316,265,1
961,265,1
897,265,0
560,291,1
538,291,1
507,291,1
451,291,1
376,291,0
316,291,1
197,291,1
1075,291,1
961,291,1
897,291,0
862,291,1
814,291,1
735,291,0
684,291,1
961,356,1
862,356,1
814,356,0
684,356,1
560,356,0
507,356,1
451,356,1
402,356,1
402,404,1
345,404,1
1026,404,1
961,404,1
560,432,1
507,432,0
451,432,0
402,432,1
961,432,1
921,432,0
862,432,0
814,432,1
345,542,1
1026,542,1
1026,565,0
921,565,1
814,565,1
684,565,1
560,565,1
451,565,1
345,565,0
814,604,0
684,604,0
560,604,0
