Source,Target
0,1
0,14
1,2
1,15
2,3
2,16
3,4
3,17
4,5
4,18
5,6
5,19
6,7
6,20
7,8
7,21
8,9
8,22
9,10
9,23
10,11
10,24
11,12
11,25
12,13
12,30
13,151
13,31
14,15
14,36
15,16
15,37
16,17
16,38
17,18
17,39
18,19
18,40
19,20
19,41
20,21
20,42
21,22
21,43
22,23
22,26
23,24
23,27
24,25
24,28
25,29
26,27
26,44
27,28
27,35
28,29
28,149
29,30
29,150
30,31
30,45
31,152
31,46
32,34
32,152
32,48
33,34
33,49
34,153
35,44
35,60
36,37
36,51
37,38
37,52
38,39
38,53
39,40
39,54
40,41
40,55
41,42
41,56
42,43
42,57
43,44
43,58
44,59
45,46
45,150
45,73
46,47
46,74
47,48
47,152
47,75
48,49
48,76
49,77
50,150
50,149
51,52
51,61
52,53
52,62
53,54
53,63
54,55
54,64
55,56
55,65
56,57
56,66
57,58
57,67
58,59
58,68
59,60
59,69
60,149
60,70
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
69,78
70,71
70,80
71,72
71,149
71,81
72,73
72,150
72,82
73,74
73,83
74,75
74,84
75,76
75,85
76,77
76,86
77,87
78,79
78,96
79,80
80,81
80,94
81,82
81,95
82,83
82,88
83,84
83,89
84,85
84,90
85,86
85,91
86,87
86,92
87,93
88,89
88,100
89,90
89,101
90,91
90,102
91,92
91,103
92,93
92,104
93,105
94,95
94,98
95,99
96,97
96,109
97,98
98,99
98,110
99,100
99,111
100,101
100,112
101,102
101,113
102,103
102,114
103,104
103,106
104,105
104,107
105,108
106,107
106,114
106,121
107,108
107,122
108,123
109,110
109,115
110,111
110,116
111,112
111,117
112,113
112,118
113,114
113,119
114,120
115,116
115,124
116,117
116,125
117,118
117,128
118,119
118,129
119,120
119,130
120,121
120,131
121,122
121,132
122,123
122,133
123,134
124,125
124,126
125,127
126,127
127,128
128,129
128,135
129,130
129,136
130,131
130,137
131,132
131,138
132,133
132,139
133,134
133,140
134,141
135,136
135,142
136,137
136,143
137,138
137,144
138,139
138,145
139,140
139,146
140,141
140,147
141,148
142,143
143,144
144,145
145,146
146,147
147,148
151,152
151,153
152,153
