Source,Target
0,5
0,12
1,2
1,7
1,17
2,3
2,19
3,4
3,14
4,5
4,15
5,16
6,7
6,11
6,21
7,22
8,9
8,37
9,10
9,23
10,11
10,25
11,20
12,13
12,27
13,28
14,15
14,34
15,16
15,35
16,36
17,18
17,30
18,19
18,31
19,32
20,21
20,44
21,22
21,45
22,46
23,24
23,40
24,25
24,41
25,42
26,27
26,36
26,48
27,28
27,49
28,50
29,30
29,46
29,52
30,31
30,53
31,32
31,54
32,33
32,55
33,34
33,56
34,35
34,57
35,36
36,47
37,38
38,39
38,58
39,40
39,59
40,41
40,60
41,42
41,61
42,43
42,62
43,44
43,63
44,45
44,64
45,46
46,51
47,48
48,49
48,65
49,50
50,66
51,52
52,53
52,67
53,54
54,55
54,68
55,56
56,57
56,69
58,59
59,60
59,70
60,61
61,62
61,71
62,63
63,64
63,72
65,66
65,74
66,76
67,68
67,78
68,69
68,80
69,82
70,71
70,85
71,72
71,87
72,89
73,74
73,113
74,75
74,114
75,76
75,115
76,116
77,78
77,103
78,79
78,104
79,80
79,105
80,81
80,106
81,82
81,107
82,83
82,108
83,109
84,85
84,93
85,86
85,94
86,87
86,95
87,88
87,96
88,89
88,97
89,90
89,98
90,99
91,92
91,123
92,93
92,124
93,94
94,95
95,96
96,97
96,140
97,98
98,99
99,100
100,101
100,120
101,102
101,121
102,103
102,122
103,104
104,105
105,106
106,107
106,132
107,108
108,109
109,110
110,111
110,117
111,112
111,118
112,113
112,119
113,114
114,115
115,116
116,125
117,118
117,127
118,119
118,128
119,129
120,121
120,135
121,122
121,136
122,137
123,124
123,142
124,143
125,131
126,127
126,133
126,149
127,128
128,129
129,130
130,131
130,146
131,147
132,133
132,139
133,148
134,135
134,141
134,153
135,136
136,137
137,138
138,139
138,150
139,151
140,141
140,145
141,152
142,143
143,144
144,145
144,154
145,155
146,147
148,149
150,151
152,153
154,155
