x,y,column
1235,74,1
1041,74,1
854,74,1
666,74,1
297,135,1
234,135,0
134,135,0
105,135,1
1235,135,0
1041,135,0
854,135,0
666,135,0
1235,191,1
1041,191,1
854,191,1
666,191,1
484,191,1
297,191,1
234,191,0
134,191,0
105,191,0
1041,261,1
945,261,0
854,261,1
757,261,0
666,261,1
484,261,1
297,261,1
105,261,1
32,261,1
1235,261,1
1162,261,1
1162,321,0
1041,321,0
945,321,0
854,321,0
757,321,0
666,321,0
484,321,0
297,321,0
105,321,0
1041,386,0
945,386,0
854,386,0
757,386,0
666,386,0
484,386,0
297,386,0
105,386,0
1235,452,1
1162,452,1
1041,452,1
945,452,0
854,452,1
757,452,0
666,452,1
484,452,1
297,452,1
105,452,1
32,452,0
484,556,1
297,556,1
105,556,1
32,556,1
