Source,Target
0,1
0,6
1,2
1,7
2,8
3,4
3,11
4,5
4,12
5,13
6,7
6,15
6,19
7,8
7,40
8,9
8,16
9,17
10,11
10,22
11,12
11,23
12,13
12,29
13,14
13,20
14,15
14,21
15,18
16,17
16,43
17,45
18,19
18,35
19,37
20,21
20,32
21,34
22,23
22,24
23,26
24,25
24,66
25,26
25,67
26,27
27,28
27,63
28,29
28,64
29,30
30,31
30,57
31,32
31,58
32,33
33,34
33,60
34,35
34,61
35,36
35,54
36,37
36,55
37,38
38,39
38,52
39,40
39,53
40,41
41,42
41,51
42,43
42,46
43,44
44,45
44,48
45,49
46,47
46,51
46,75
47,48
47,76
48,49
49,50
49,69
50,70
51,53
51,74
52,53
52,56
52,72
53,73
54,55
54,62
54,79
55,56
56,71
57,58
57,64
57,83
58,59
58,84
59,60
59,85
60,61
61,62
61,77
62,78
63,64
63,68
63,81
64,82
65,66
65,86
66,67
66,87
67,68
68,80
69,70
69,89
70,90
71,72
71,95
72,73
73,74
73,100
74,75
74,101
75,76
76,88
77,78
77,92
78,79
78,93
79,94
80,81
80,98
81,82
82,83
82,105
83,84
83,106
84,85
85,91
86,87
86,96
87,97
88,89
88,102
89,90
90,108
91,92
91,103
92,93
93,94
93,111
94,95
95,99
96,97
96,112
97,98
98,104
99,100
99,109
100,101
100,117
101,102
101,114
102,107
103,106
103,110
104,105
104,113
105,106
105,121
106,118
107,108
107,115
109,111
109,116
110,111
110,119
112,113
113,120
114,115
116,117
118,119
120,121
