Source,Target
0,1
0,10
1,2
1,18
2,6
3,4
3,15
4,5
4,21
5,11
6,7
6,23
7,34
8,9
8,26
9,10
9,16
10,17
11,12
11,25
12,43
13,14
13,35
14,15
14,19
15,20
16,17
16,28
17,18
18,22
19,20
19,37
20,21
21,24
22,23
22,30
23,32
24,25
24,39
25,41
26,27
26,52
27,28
27,53
28,29
28,54
29,30
29,67
30,31
30,68
31,32
31,69
32,33
32,44
33,34
33,45
34,46
35,36
35,56
36,37
36,57
37,38
37,58
38,39
38,61
39,40
39,62
40,41
40,63
41,42
41,48
42,43
42,49
43,50
44,45
44,70
45,46
46,47
47,71
48,49
48,64
49,50
50,51
51,52
51,65
52,53
53,54
54,66
55,56
55,59
56,57
57,58
58,60
59,60
59,72
60,61
61,62
62,63
62,73
63,64
64,65
65,66
65,74
66,67
67,68
68,69
68,75
69,70
70,71
71,76
72,73
72,77
73,74
73,78
74,75
74,79
75,76
75,80
76,81
77,78
78,79
79,80
80,81
