Source,Target
0,1
0,14
1,2
1,15
2,3
2,19
3,4
3,21
4,5
4,22
5,6
5,24
6,7
6,8
7,9
8,9
8,25
9,10
9,26
10,11
10,27
11,28
12,13
12,32
13,14
13,16
14,15
14,17
15,18
16,17
16,33
17,18
17,34
18,19
19,20
20,21
20,40
21,22
22,23
23,24
23,36
24,25
25,26
26,27
26,29
27,28
27,30
28,31
29,30
29,35
30,31
30,44
31,45
32,33
32,46
33,34
33,47
34,38
35,37
35,43
36,37
36,53
37,41
38,39
38,48
39,40
39,50
40,52
41,42
41,54
42,43
42,56
43,44
43,57
44,45
44,58
45,59
46,47
46,60
47,48
47,61
48,49
48,62
49,50
49,63
50,51
51,52
51,64
52,53
52,70
53,54
53,66
54,55
55,56
55,67
56,57
57,58
57,65
58,59
58,72
59,73
60,61
60,74
61,62
61,75
62,63
62,68
63,64
64,69
65,67
65,71
66,67
66,85
68,69
68,76
69,70
70,82
71,72
71,88
72,73
72,89
73,90
74,75
74,77
75,76
75,78
76,79
77,78
77,95
78,79
78,96
79,80
79,97
80,81
80,98
81,82
81,101
82,83
83,84
83,102
84,85
84,103
85,86
86,87
86,104
87,88
87,91
88,89
88,92
89,90
89,93
90,94
91,92
91,105
92,93
92,106
93,94
95,96
96,97
97,98
97,99
98,100
99,100
100,101
101,102
102,103
103,104
104,105
105,106
