Source,Target
0,1
0,20
1,2
1,21
2,3
2,23
3,4
3,24
4,10
5,6
5,13
6,7
6,31
7,8
7,32
8,9
8,14
9,15
10,11
10,26
11,27
12,13
12,28
13,29
14,15
14,33
15,16
16,17
16,37
17,18
17,39
18,19
18,40
19,20
19,34
20,21
21,22
22,23
22,35
23,24
24,25
25,26
25,49
26,27
27,50
28,29
28,51
29,30
30,31
30,52
31,32
32,33
33,36
34,35
34,41
35,46
36,37
36,42
37,38
38,39
38,43
39,40
40,41
41,45
42,43
42,54
43,44
43,60
44,45
44,62
45,46
45,64
46,47
47,48
47,66
48,49
48,68
49,50
49,69
51,52
52,53
52,55
53,54
53,56
54,58
55,56
56,57
56,74
57,58
57,75
58,59
58,76
59,60
59,77
60,61
61,62
61,79
62,63
62,80
63,64
63,81
64,65
65,66
65,70
66,67
66,71
67,68
67,72
68,69
68,73
70,71
70,82
71,72
72,73
72,85
74,75
75,76
75,86
76,77
77,78
78,79
78,87
79,80
79,88
80,81
81,82
81,83
82,84
83,84
84,85
86,87
87,88
