Source,Target
0,1
0,13
1,2
1,14
2,3
2,15
3,4
3,16
4,17
5,6
5,49
6,7
6,50
7,8
7,52
8,9
8,24
9,10
9,25
10,11
10,26
11,12
11,32
12,13
12,33
13,14
13,37
14,15
14,27
15,16
15,28
16,17
16,29
17,18
17,41
18,19
18,42
19,20
19,43
20,21
20,44
21,22
21,45
22,23
22,47
23,48
24,25
24,30
25,26
26,31
27,28
27,38
28,29
28,39
29,40
30,31
30,53
31,32
31,34
32,33
32,35
33,36
34,35
34,60
35,36
35,61
36,37
36,62
37,38
37,71
38,39
38,72
39,40
39,73
40,41
40,74
41,42
41,75
42,43
42,76
43,44
43,77
44,45
44,78
45,46
45,54
46,47
46,56
47,48
47,82
48,83
49,50
49,63
50,51
50,64
51,52
51,57
52,53
53,59
54,55
55,56
55,80
56,81
57,58
57,65
58,59
58,66
59,60
59,67
60,61
60,68
61,62
61,69
62,70
63,64
63,85
64,65
64,86
65,66
66,67
67,68
67,89
68,69
68,90
69,70
69,91
70,71
70,94
71,72
71,96
72,73
72,97
73,74
73,99
74,75
74,101
75,76
75,102
76,77
76,103
77,78
77,104
78,79
78,105
79,80
79,106
80,81
81,82
82,83
82,108
83,109
84,85
84,110
85,86
85,111
86,87
87,88
87,112
88,89
88,113
89,90
89,114
90,91
90,115
91,92
92,93
92,116
93,94
93,117
94,95
94,118
95,96
95,119
96,97
97,98
97,120
98,99
98,121
99,100
100,101
100,122
101,102
101,123
102,103
102,124
103,104
103,125
104,105
104,126
105,106
105,127
106,107
106,128
107,108
107,129
108,109
109,130
110,111
110,131
111,112
111,132
112,113
112,133
113,114
113,134
114,115
114,135
115,116
115,137
116,117
116,138
117,118
117,139
118,119
118,140
119,120
119,141
120,121
120,142
121,122
121,144
122,123
122,146
123,124
123,147
124,125
124,168
125,126
125,169
126,127
126,170
127,128
127,171
128,129
128,172
129,130
129,173
130,174
131,132
131,152
132,133
132,153
133,134
133,154
134,135
134,155
135,136
135,156
136,137
136,150
137,138
137,151
138,139
138,159
139,140
139,148
140,141
140,149
141,142
141,162
142,143
143,144
143,163
144,145
144,164
145,146
145,165
146,147
146,166
147,167
148,149
148,160
149,161
150,151
150,157
151,158
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,163
163,164
164,165
165,166
166,167
167,168
168,169
169,170
170,171
171,172
172,173
173,174
