x,y,column
510,44,0
423,44,0
319,44,0
581,44,0
423,69,0
319,69,1
510,69,1
571,69,1
510,144,0
423,144,0
319,144,0
423,218,0
319,218,1
994,520,0
557,369,0
423,278,0
423,340,0
319,254,0
318,289,1
319,325,0
319,421,0
558,329,0
605,366,0
340,335,1
318,378,1
320,471,0
394,326,0
380,355,1
358,398,0
341,433,0
335,477,0
320,488,1
443,350,0
428,378,0
406,422,0
389,456,0
362,509,0
538,165,0
508,218,1
596,46,0
583,72,1
505,381,1
475,430,0
465,450,0
447,485,0
421,537,1
596,193,0
648,91,0
634,118,0
558,263,0
554,402,0
527,456,0
499,510,0
472,562,0
648,219,0
606,296,1
695,127,0
680,155,1
671,230,0
715,143,0
701,171,0
628,313,0
603,428,1
578,481,0
551,535,0
524,588,1
653,333,0
627,384,0
708,479,0
724,459,0
682,515,1
804,352,0
965,191,1
913,234,0
860,277,1
758,413,1
980,368,1
926,380,0
874,391,0
807,405,0
752,570,1
824,565,0
994,556,1
941,559,0
889,561,1
513,297,0
