Source,Target
0,1
0,10
0,24
1,2
1,15
2,3
2,16
3,4
3,17
4,5
4,21
5,22
6,7
6,14
6,31
7,8
7,32
8,9
8,33
9,10
9,34
10,23
11,12
11,110
12,13
12,42
13,14
13,43
14,44
15,16
15,25
16,17
17,20
18,19
18,25
18,47
19,20
19,48
20,21
20,27
21,22
22,30
23,24
23,35
24,25
25,37
26,108
26,38
27,28
27,49
28,29
28,50
29,30
29,57
30,58
31,32
31,44
31,70
32,33
32,71
33,34
33,72
34,35
34,73
35,36
35,51
36,37
36,45
37,46
38,39
38,77
39,40
39,108
39,78
40,41
40,109
40,79
41,42
41,110
41,80
42,43
42,81
43,44
43,82
44,83
45,46
45,52
46,47
47,48
48,49
49,50
49,55
50,56
51,52
51,63
52,53
52,61
53,54
53,62
54,55
54,66
55,56
55,59
56,57
56,60
57,58
58,69
59,60
59,67
60,68
61,62
61,64
62,65
63,64
63,74
64,65
64,76
65,66
66,67
67,68
68,69
68,75
69,113
70,71
70,83
71,72
72,73
73,74
74,76
74,85
75,113
75,76
75,112
76,111
77,78
78,79
79,80
80,81
81,82
82,83
84,113
84,88
85,86
85,94
86,90
86,95
87,89
87,90
87,97
88,89
88,93
89,112
89,91
90,111
90,96
91,92
91,98
92,93
92,99
93,100
94,95
94,101
95,96
95,102
96,97
96,103
97,98
97,104
98,99
98,105
99,100
99,106
100,107
101,102
102,103
103,104
104,105
105,106
106,107
108,109
109,110
