x,y,column
517,109,0
425,109,0
345,109,0
265,109,0
173,109,0
1100,109,0
1008,109,0
928,109,0
847,109,0
755,109,0
425,150,0
345,150,1
265,150,0
173,150,1
63,150,1
611,150,0
517,150,1
1217,150,1
1194,150,0
1100,150,1
1008,150,0
928,150,1
847,150,0
755,150,1
662,150,0
636,150,1
425,173,0
345,173,0
265,173,0
1008,173,0
928,173,0
847,173,0
265,256,0
173,256,0
129,256,0
63,256,0
382,256,1
345,256,1
308,256,1
847,256,0
755,256,0
712,256,0
662,256,0
636,256,0
611,256,0
560,256,0
517,256,0
425,256,0
964,256,1
928,256,1
890,256,1
1217,256,0
1194,256,0
1143,256,0
1100,256,0
1008,256,0
308,326,1
265,326,0
173,326,1
129,326,0
63,326,1
890,326,1
847,326,0
755,326,1
712,326,0
662,326,0
636,326,1
611,326,0
560,326,0
517,326,1
425,326,0
382,326,1
1217,326,1
1194,326,0
1143,326,0
1100,326,1
1008,326,0
964,326,1
173,385,0
129,385,0
63,385,0
755,385,0
712,385,0
636,385,0
560,385,0
517,385,0
1217,385,0
1143,385,0
1100,385,0
517,470,1
382,470,1
308,470,1
173,470,1
755,470,1
1100,470,1
964,470,1
890,470,1
173,495,1
63,495,1
755,495,1
636,495,1
517,495,1
1217,495,1
1100,495,1
382,518,1
308,518,1
964,518,1
890,518,1
308,546,0
173,546,0
517,546,0
382,546,0
890,546,0
755,546,0
1100,546,0
964,546,0
