x,y,column
909,59,1
846,59,1
798,59,1
846,106,0
821,106,0
799,106,0
784,106,0
909,132,1
846,132,1
821,132,0
748,132,0
748,159,1
689,159,1
668,159,0
689,178,0
648,178,0
909,178,0
846,178,0
821,178,0
776,178,0
748,178,0
776,219,0
748,219,0
882,245,0
846,245,1
776,245,1
748,245,1
689,273,0
668,273,0
706,273,1
776,273,0
748,273,1
909,273,1
882,273,0
846,273,0
748,312,1
846,312,0
776,312,0
909,333,1
846,333,1
776,333,1
503,368,0
480,368,1
537,368,0
621,368,0
756,368,0
846,368,0
821,368,0
776,368,0
596,415,1
575,415,0
549,415,0
503,415,0
634,415,1
909,415,1
846,415,1
821,415,0
707,415,0
503,443,0
480,443,0
418,443,1
776,459,0
575,459,1
549,459,0
503,459,0
480,459,0
451,459,0
661,459,0
503,492,0
480,492,0
451,492,0
422,492,0
718,492,0
689,492,0
630,492,0
776,519,0
718,519,0
689,519,1
630,519,1
575,519,1
503,519,0
451,519,1
422,519,0
388,519,0
689,573,0
630,573,0
776,592,0
689,592,1
630,592,1
575,592,1
503,592,0
451,592,1
388,592,1
776,132,1
774,416,1
747,332,1
716,459,0
688,222,0
689,298,0
690,455,1
628,454,1
596,342,0
596,374,1
503,317,0
480,340,0
480,420,1
448,442,1
388,492,1
630,195,1
587,236,1
556,265,1
517,304,1
630,278,1
615,293,0
600,307,1
674,235,1
646,293,0
631,308,0
616,323,0
575,365,0
689,251,0
696,313,1
683,328,1
668,343,1
653,358,1
632,374,1
735,343,1
717,365,1
687,391,1
740,383,0
685,435,0
561,343,0
666,413,1
