Source,Target
0,1
0,10
1,2
1,11
2,3
2,12
3,4
3,13
4,5
4,7
5,6
5,8
6,9
7,8
7,14
8,9
8,15
9,16
10,11
10,28
11,12
11,29
12,13
12,30
13,14
13,31
14,15
14,17
15,16
15,18
16,19
17,18
17,32
18,19
18,34
19,20
19,35
20,21
20,36
21,22
21,37
22,23
22,38
23,24
23,39
24,25
24,40
25,26
25,41
26,27
26,42
27,43
28,29
28,44
29,30
29,45
30,31
30,46
31,32
31,47
32,33
32,48
33,34
33,49
34,35
35,36
35,50
36,37
36,51
37,38
37,52
38,39
38,53
39,40
39,54
40,41
40,55
41,42
41,56
42,43
42,57
43,58
44,45
44,64
45,46
45,65
46,47
46,66
47,48
47,67
48,49
48,68
49,50
49,69
50,51
50,70
51,52
51,71
52,53
52,72
53,54
53,73
54,55
54,59
55,56
55,60
56,57
56,61
57,58
57,62
58,63
59,60
59,74
60,61
61,62
62,63
64,65
64,75
65,66
65,76
66,67
66,77
67,68
67,78
68,69
68,79
69,70
69,80
70,71
70,81
71,72
71,82
72,73
72,83
73,74
73,84
74,85
75,76
76,77
77,78
78,79
79,80
80,81
81,82
82,83
83,84
84,85
